#Size      Number      Rc           Rn         Rn/NTLT    Irr-Num      Irr-Rc      Irr-Rn      Irr-Rn/NTLT

Step    1
Total number of rings: 1485.

 3.0         4         0.000         0         0.000         0         0.000         0         0.000
 4.0         0         0.000         0         0.000         0         0.000         0         0.000
 5.0       189         0.019         0         0.000         0         0.019         0         0.000
 6.0      1001         0.100         0         0.000         0         0.100         0         0.000
 7.0       240         0.024         0         0.000         0         0.024         0         0.000
 8.0        35         0.004         0         0.000         0         0.004         0         0.000
 9.0        16         0.002         0         0.000         0         0.002         0         0.000
10.0         0         0.000         0         0.000         0         0.000         0         0.000
